member_id,legacy_member_id,migration_batch_id,migration_date,migration_status,migration_flag,migration_source_system
MBR_00001,LEG_000001,BATCH_2,2023-09-22,Failed,N,legacy_A
MBR_00002,LEG_000002,BATCH_3,2024-04-01,Completed,N,legacy_A
MBR_00003,LEG_000003,BATCH_2,2023-05-13,Reprocessed,N,legacy_A
MBR_00004,LEG_000004,BATCH_4,2025-05-19,Reprocessed,Y,legacy_A
MBR_00005,LEG_000005,BATCH_1,2024-04-05,Completed,N,legacy_B
MBR_00006,LEG_000006,BATCH_5,2025-07-10,Failed,Y,legacy_A
MBR_00007,LEG_000007,BATCH_3,2025-10-06,Failed,Y,legacy_B
MBR_00008,LEG_000008,BATCH_3,2024-09-13,Completed,Y,legacy_A
MBR_00009,LEG_000009,BATCH_2,2024-05-24,Reprocessed,Y,legacy_B
MBR_00010,LEG_000010,BATCH_1,2023-04-27,Failed,N,legacy_A
MBR_00011,LEG_000011,BATCH_1,2024-05-05,Reprocessed,N,legacy_A
MBR_00012,LEG_000012,BATCH_2,2025-06-11,Completed,Y,legacy_A
MBR_00013,LEG_000013,BATCH_3,2023-12-25,Completed,N,legacy_B
MBR_00014,LEG_000014,BATCH_2,2024-05-23,Reprocessed,Y,legacy_A
MBR_00015,LEG_000015,BATCH_4,2023-06-01,Failed,N,legacy_A
MBR_00016,LEG_000016,BATCH_4,2024-01-10,Reprocessed,N,legacy_A
MBR_00017,LEG_000017,BATCH_5,2025-06-25,Completed,N,legacy_A
MBR_00018,LEG_000018,BATCH_2,2024-04-24,Failed,Y,legacy_B
MBR_00019,LEG_000019,BATCH_4,2023-01-05,Completed,Y,legacy_A
MBR_00020,LEG_000020,BATCH_1,2025-01-17,Failed,N,legacy_B
MBR_00021,LEG_000021,BATCH_1,2025-08-13,Completed,Y,legacy_B
MBR_00022,LEG_000022,BATCH_5,2023-06-11,Completed,Y,legacy_B
MBR_00023,LEG_000023,BATCH_1,2023-04-09,Reprocessed,Y,legacy_A
MBR_00024,LEG_000024,BATCH_5,2023-02-15,Completed,Y,legacy_A
MBR_00025,LEG_000025,BATCH_1,2025-02-10,Failed,Y,legacy_A
MBR_00026,LEG_000026,BATCH_5,2024-07-13,Completed,N,legacy_A
MBR_00027,LEG_000027,BATCH_1,2025-03-24,Reprocessed,Y,legacy_B
MBR_00028,LEG_000028,BATCH_3,2023-11-21,Failed,N,legacy_B
