violation_id,member_id,violation_type,violation_date,severity_level
VIO_198,MBR_00198,Policy Abuse,2023-05-10,Low
VIO_1727,MBR_01727,Policy Abuse,2025-06-22,Medium
VIO_40256,MBR_40256,Fraud,2024-01-13,High
VIO_28758,MBR_28758,Fraud,2024-12-27,High
VIO_2176,MBR_02176,Late Payment,2024-05-25,Medium
VIO_42719,MBR_42719,Fraud,2024-08-19,Medium
VIO_25705,MBR_25705,Policy Abuse,2023-08-29,High
VIO_43254,MBR_43254,Fraud,2023-11-14,Low
VIO_3341,MBR_03341,Late Payment,2023-05-14,Medium
VIO_48219,MBR_48219,Policy Abuse,2025-12-16,Medium
VIO_36963,MBR_36963,Policy Abuse,2025-09-11,High
VIO_22109,MBR_22109,Fraud,2025-01-17,Medium
VIO_32861,MBR_32861,Fraud,2025-12-16,High
VIO_8787,MBR_08787,Late Payment,2023-07-03,High
VIO_27948,MBR_27948,Late Payment,2024-06-01,Low
VIO_31582,MBR_31582,Policy Abuse,2024-01-30,High
VIO_3532,MBR_03532,Fraud,2024-11-05,Low
VIO_45272,MBR_45272,Policy Abuse,2025-06-02,Medium
VIO_6345,MBR_06345,Fraud,2025-06-26,Low
VIO_37331,MBR_37331,Late Payment,2023-05-08,Low
VIO_20067,MBR_20067,Policy Abuse,2023-09-30,Medium
VIO_1656,MBR_01656,Fraud,2025-08-16,High
VIO_39041,MBR_39041,Fraud,2023-07-04,High
VIO_47876,MBR_47876,Late Payment,2025-09-25,High
VIO_13652,MBR_13652,Policy Abuse,2025-04-21,High
VIO_2293,MBR_02293,Policy Abuse,2024-02-12,Medium
VIO_24704,MBR_24704,Policy Abuse,2023-08-22,Medium
VIO_3879,MBR_03879,Policy Abuse,2025-11-15,Low
VIO_20602,MBR_20602,Policy Abuse,2023-03-08,High
VIO_11708,MBR_11708,Late Payment,2025-08-11,Medium
VIO_16932,MBR_16932,Policy Abuse,2025-08-12,Low
VIO_9538,MBR_09538,Fraud,2023-06-16,Low
VIO_26104,MBR_26104,Late Payment,2025-03-31,High
VIO_33296,MBR_33296,Late Payment,2025-01-24,High
VIO_45696,MBR_45696,Fraud,2025-02-18,Low
VIO_654,MBR_00654,Fraud,2023-08-01,Low
VIO_7424,MBR_07424,Fraud,2024-01-05,High
VIO_44064,MBR_44064,Policy Abuse,2025-03-03,High
VIO_31738,MBR_31738,Policy Abuse,2024-11-22,Low
VIO_43952,MBR_43952,Late Payment,2024-01-23,High
VIO_39984,MBR_39984,Fraud,2024-06-10,Low
VIO_3556,MBR_03556,Late Payment,2023-03-18,Medium
VIO_9109,MBR_09109,Late Payment,2023-11-14,Low
VIO_48638,MBR_48638,Fraud,2024-08-20,Medium
VIO_42050,MBR_42050,Policy Abuse,2025-11-04,Medium
VIO_41710,MBR_41710,Fraud,2025-11-30,Medium
VIO_1946,MBR_01946,Late Payment,2024-10-05,High
VIO_25500,MBR_25500,Fraud,2023-03-28,Medium
VIO_14441,MBR_14441,Fraud,2023-07-23,Low
VIO_6603,MBR_06603,Fraud,2023-06-23,Medium
VIO_25795,MBR_25795,Fraud,2023-11-14,Low
VIO_26360,MBR_26360,Fraud,2023-02-13,Medium
VIO_20945,MBR_20945,Late Payment,2023-03-11,Low
VIO_18516,MBR_18516,Late Payment,2023-08-27,High
VIO_9668,MBR_09668,Fraud,2024-12-27,Medium
VIO_47427,MBR_47427,Fraud,2024-06-22,Medium
VIO_36983,MBR_36983,Late Payment,2024-06-05,High
VIO_23055,MBR_23055,Late Payment,2025-08-26,Medium
VIO_1969,MBR_01969,Policy Abuse,2025-03-01,High
VIO_21471,MBR_21471,Policy Abuse,2024-02-10,Medium
VIO_7530,MBR_07530,Fraud,2025-07-20,Medium
